zipCode	feeType	isActive	juso
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 21-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 23-3 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 23-5 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 23-6 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 23-6 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 25-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 27-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 27-10 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 27-4 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 27-5 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 27-7 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 27-9 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 29-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 29-3 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 29-6 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 3-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 31-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 33-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 33-1 (오천면)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 35-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 35-2 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 35-3 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 35-4 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 35-5 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 35-6 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 35-7 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 35-9 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 37-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 37-1 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 39-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 39-1 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 39-3 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 39-5 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 41-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 41-1 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 41-3 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 41-4 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 41-5 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 41-6 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 5-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 53-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 55-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 55-4 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 55-5 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 55-6 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 55-7 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 57-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 58-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 58-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 61-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 7-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도1길 81-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 1-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 13-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 25-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 27-10 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 27-16 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 3-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 30-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 32-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 33-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 34-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 34-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 35-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 37-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 38-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 39-1 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 41-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 41-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 42-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 46-1 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 46-1 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 46-10 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 46-11 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 46-11 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 46-4 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 46-5 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 46-7 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 49-0 (오천면어항출장소)
